Date,Lat,Lng,City,Country,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
6/13/2018,-6.22,-57.76,Jacareacanga,BR,0,62,89.6,6.93
6/13/2018,-46.28,169.85,Kaitangata,NZ,100,94,42.61,5.64
6/13/2018,-34.75,149.72,Goulburn,AU,20,91,44.32,10.11
6/13/2018,30.78,78.62,Lata,IN,76,89,59.89,0.94
6/13/2018,70.62,147.9,Chokurdakh,RU,0,88,32.17,2.95
6/13/2018,56.4,61.89,Martyush,RU,92,94,55.03,9.33
6/13/2018,-42.88,147.33,Hobart,AU,20,87,44.6,8.05
6/13/2018,-31.97,141.45,Broken Hill,AU,0,88,44.5,7.31
6/13/2018,62.63,17.94,Harnosand,SE,0,44,60.8,13.87
6/13/2018,-46.13,167.69,Tuatapere,NZ,0,100,38.92,3.4
6/13/2018,-0.74,-90.35,Puerto Ayora,EC,90,69,77,13.87
6/13/2018,50.23,-63.6,Havre-Saint-Pierre,CA,75,58,53.6,19.46
6/13/2018,-53.16,-70.91,Punta Arenas,CL,0,100,35.6,9.17
6/13/2018,65.61,-37.64,Tasiilaq,GL,75,60,39.2,2.24
6/13/2018,49.78,-74.86,Chapais,CA,40,38,59,10.29
6/13/2018,-21.21,-159.78,Avarua,CK,40,56,73.4,10.29
6/13/2018,64.25,-15.21,Hofn,IS,75,87,51.8,8.05
6/13/2018,57.89,52.24,Yukamenskoye,RU,92,98,56.65,10.22
6/13/2018,27.38,87.21,Khandbari,NP,80,67,44.59,1.39
6/13/2018,60.79,-161.76,Bethel,US,1,93,44.6,8.05
6/13/2018,-54.81,-68.31,Ushuaia,AR,75,64,41,3.36
6/13/2018,-33.02,27.91,East London,ZA,0,37,69.8,5.82
6/13/2018,-23.58,149.07,Bluff,AU,76,76,61.96,4.74
6/13/2018,-20.73,139.49,Mount Isa,AU,75,100,64.4,3.29
6/13/2018,69.7,170.27,Pevek,RU,0,71,36.94,6.98
6/13/2018,16.28,-0.04,Gao,ML,24,16,110.02,4.97
6/13/2018,22.89,-109.91,Cabo San Lucas,MX,75,74,84.2,10.29
6/13/2018,14.9,-24.5,Sao Filipe,CV,0,88,75.73,13.02
6/13/2018,71.64,128.87,Tiksi,RU,44,58,57.73,10.11
6/13/2018,-33.64,115.35,Busselton,AU,92,100,60.43,10.56
6/13/2018,-19.06,-169.92,Alofi,NU,76,88,71.6,3.36
6/13/2018,59.58,151.3,Ola,RU,75,100,42.8,7.76
6/13/2018,20.52,-13.05,Atar,MR,20,19,91.4,9.17
6/13/2018,-23.12,-134.97,Rikitea,PF,0,100,73.57,8.66
6/13/2018,-34.42,19.24,Hermanus,ZA,0,24,77.17,8.66
6/13/2018,37.73,-25.67,Ponta Delgada,PT,75,88,71.6,12.75
6/13/2018,5.77,20.68,Bambari,CF,24,84,81.85,7.65
6/13/2018,-19.98,57.61,Cap Malheureux,MU,75,69,75.2,14.99
6/13/2018,15.86,-97.07,Puerto Escondido,MX,75,65,80.6,3.36
6/13/2018,77.48,-69.36,Qaanaaq,GL,32,100,31.45,6.31
6/13/2018,-42.78,147.06,New Norfolk,AU,20,87,44.6,8.05
6/13/2018,17.54,44.22,Najran,SA,40,13,98.6,11.41
6/13/2018,21.23,-86.73,Isla Mujeres,MX,90,100,75.2,16.11
6/13/2018,-46.43,-67.52,Mar Del Plata,AR,0,100,32.53,7.31
6/13/2018,64.42,-173.23,Provideniya,RU,0,91,40.63,10.78
6/13/2018,-33.21,138.6,Jamestown,AU,12,88,43.15,10.89
6/13/2018,50.04,-110.68,Medicine Hat,CA,20,34,66.2,14.99
6/13/2018,33.93,134.5,Katsuura,JP,8,88,62.05,7.54
6/13/2018,68.22,-135.01,Aklavik,CA,20,53,51.8,11.41
6/13/2018,69.44,-133.03,Tuktoyaktuk,CA,20,61,46.4,6.93
6/13/2018,22.08,-159.32,Kapaa,US,90,88,75.2,14.99
6/13/2018,-34.18,142.16,Mildura,AU,0,92,45.67,9.66
6/13/2018,45.6,-0.6,Souillac,FR,75,49,73.4,10.29
6/13/2018,-2.02,147.27,Lorengau,PG,100,100,80.59,3.85
6/13/2018,-20.25,-43.81,Praia,BR,20,47,82.4,3.36
6/13/2018,-33.59,26.89,Port Alfred,ZA,0,50,76.54,7.2
6/13/2018,-10.75,-77.76,Barranca,PE,0,98,61.87,9.89
6/13/2018,30.04,-94.42,Nome,US,40,70,87.8,3.36
6/13/2018,28.42,30.79,Matay,EG,0,23,97.69,6.98
6/13/2018,71.97,114.09,Saskylakh,RU,48,55,59.53,5.86
6/13/2018,-2.92,-39.92,Itarema,BR,0,61,88.33,12.57
6/13/2018,3.07,172.79,Butaritari,KI,56,100,81.13,7.31
6/13/2018,39.36,-9.38,Peniche,PT,20,64,75.2,12.75
6/13/2018,-25.17,45.06,Beloha,MG,0,57,71.95,16.37
6/13/2018,64.73,177.51,Anadyr,RU,0,57,48.2,4.47
6/13/2018,-26.65,15.16,Luderitz,NA,12,64,64.03,17.38
6/13/2018,44.02,-92.46,Rochester,US,1,37,73.4,6.93
6/13/2018,11.28,49.18,Bosaso,SO,0,86,89.77,3.96
6/13/2018,-16.48,-151.75,Faanui,PF,0,100,79.96,11.79
6/13/2018,63.84,-22.43,Grindavik,IS,75,70,48.2,5.82
6/13/2018,-43.03,147.26,Margate,AU,20,87,44.6,8.05
6/13/2018,26.54,-77.06,Marsh Harbour,BS,88,95,82.39,10
6/13/2018,-45.87,-67.48,Comodoro Rivadavia,AR,40,60,42.8,9.17
6/13/2018,72.79,-56.15,Upernavik,GL,92,100,29.29,3.74
6/13/2018,-7.61,15.06,Uige,AO,0,29,86.8,3.18
6/13/2018,-34.53,20.04,Bredasdorp,ZA,0,23,82.4,5.82
6/13/2018,19.28,-81.25,Bodden Town,KY,40,78,80.6,16.11
6/13/2018,27.97,-114.04,Guerrero Negro,MX,44,88,63.85,3.74
6/13/2018,18.69,12.92,Bilma,NE,0,12,110.47,4.63
6/13/2018,-30.97,22.13,Carnarvon,ZA,0,30,60.43,14.25
6/13/2018,-20.63,-46,Ponta Do Sol,BR,12,72,78.25,3.96
6/13/2018,37.72,-25.43,Vila Franca Do Campo,PT,75,88,71.6,12.75
6/13/2018,28.5,-13.86,Puerto Del Rosario,ES,20,60,73.4,17.22
6/13/2018,37.17,-99.65,Sitka,US,20,92,74.02,5.97
6/13/2018,33.08,-16.33,Camacha,PT,75,72,68,16.11
6/13/2018,45.36,-73.48,Saint-Philippe,CA,1,54,78.8,11.41
6/13/2018,11.67,92.75,Port Blair,IN,92,97,84.37,25.1
6/13/2018,42.65,-73.75,Albany,US,90,68,69.8,3.36
6/13/2018,-38.31,-60.23,Barrow,AR,88,72,50.26,8.21
6/13/2018,35.17,47.8,Qorveh,IR,92,22,76.72,3.18
6/13/2018,-13.65,-73.37,San Jeronimo,PE,90,81,46.4,2.39
6/13/2018,-46.19,168.86,Mataura,NZ,24,79,25.69,3.18
6/13/2018,-8.15,159.59,Buala,SB,64,100,78.7,4.18
6/13/2018,7.98,49.82,Eyl,SO,20,57,86.62,22.41
6/13/2018,24.47,54.37,Abu Dhabi,AE,0,29,98.6,16.11
6/13/2018,52.34,124.71,Tahe,CN,92,98,51.43,2.17
6/13/2018,-33.69,-53.46,Chuy,UY,80,93,52.87,28.9
6/13/2018,56.84,95.22,Dzerzhinskoye,RU,8,69,65.11,3.85
6/13/2018,60.35,102.28,Vanavara,RU,0,50,64.21,5.64
6/13/2018,42.77,-9.06,Muros,ES,40,72,66.2,10.29
6/13/2018,50.51,2.47,Auchel,FR,0,49,68,3.36
6/13/2018,11.28,-15.83,Bubaque,GW,40,55,91.4,11.41
6/13/2018,71.98,102.47,Khatanga,RU,8,65,60.97,4.63
6/13/2018,37.06,-120.85,Los Banos,US,1,67,75.2,4.74
6/13/2018,-2.54,115.51,Labuhan,ID,12,95,72.94,1.83
6/13/2018,45.22,1.9,Saint-Paul,FR,75,56,68,14.99
6/13/2018,17.52,-101.27,Petatlan,MX,90,74,84.2,1.83
6/13/2018,61.68,96.39,Baykit,RU,36,68,63.94,4.29
6/13/2018,-27.18,151.26,Dalby,AU,75,93,53.6,2.24
6/13/2018,62.45,-114.38,Yellowknife,CA,90,93,46.4,8.05
6/13/2018,19.71,-155.08,Hilo,US,75,88,66.2,5.82
6/13/2018,65.8,87.96,Turukhansk,RU,36,76,66.37,6.42
6/13/2018,11,122.67,Dingle,PH,68,82,79.96,8.21
6/13/2018,45.22,-112.64,Dillon,US,1,44,57.2,5.82
6/13/2018,66.66,66.39,Labytnangi,RU,64,75,47.11,17.49
6/13/2018,13.78,124.39,Gigmoto,PH,36,98,83.56,17.6
6/13/2018,18.08,-15.98,Nouakchott,MR,68,76,76.72,1.39
6/13/2018,43.93,141.67,Rumoi,JP,92,100,44.41,8.1
6/13/2018,73.51,80.55,Dikson,RU,32,100,31.09,13.13
6/13/2018,-10.55,32.07,Chinsali,ZM,0,36,73.39,9.22
6/13/2018,6.8,-58.16,Georgetown,GY,75,78,82.4,9.17
6/13/2018,40.53,-112.3,Tooele,US,1,35,73.4,9.17
6/13/2018,59.7,30.79,Nikolskoye,RU,40,41,60.8,4.47
6/13/2018,5.91,-4.68,Bodo,CI,80,66,87.7,8.21
6/13/2018,-9.31,-36.86,Minador Do Negrao,BR,32,80,76.81,13.24
6/13/2018,-14.27,50.17,Sambava,MG,88,100,77.35,19.73
6/13/2018,61.28,108.01,Yerbogachen,RU,0,44,64.93,7.43
6/13/2018,20.89,-156.47,Kahului,US,1,93,66.2,3.36
6/13/2018,70.47,-68.59,Clyde River,CA,75,100,35.6,21.92
6/13/2018,-41.87,-73.83,Ancud,CL,20,90,39.1,2.73
6/13/2018,63.05,179.32,Beringovskiy,RU,0,88,39.37,3.4
6/13/2018,-3.54,118.97,Majene,ID,32,100,81.85,11.01
6/13/2018,38.48,47.07,Ahar,IR,36,62,62.77,3.74
6/13/2018,-23.78,-45.36,Ilhabela,BR,80,98,72.85,2.28
6/13/2018,53.68,86.95,Listvyagi,RU,0,78,65.11,2.06
6/13/2018,70.03,20.97,Skjervoy,NO,40,65,44.6,10.29
6/13/2018,-33.93,18.42,Cape Town,ZA,0,35,73.4,9.17
6/13/2018,63.75,-68.52,Iqaluit,CA,90,96,35.6,20.8
6/13/2018,44.51,50.26,Fort-Shevchenko,KZ,0,59,74.2,3.62
6/13/2018,50.68,156.12,Severo-Kurilsk,RU,92,100,38.02,16.26
6/13/2018,-22.97,-42.02,Arraial Do Cabo,BR,0,65,80.6,4.7
6/13/2018,47.66,-52.73,Torbay,CA,90,93,50,19.46
6/13/2018,-35.17,173.16,Ahipara,NZ,88,91,56.65,9.66
6/13/2018,9.49,50.81,Bandarbeyla,SO,0,79,79.15,32.93
6/13/2018,63.86,57.31,Vuktyl,RU,92,96,52.6,7.43
6/13/2018,-17.73,-39.27,Caravelas,BR,0,98,77.62,10.45
6/13/2018,-39.94,176.59,Waipawa,NZ,92,94,50.89,9.44
6/13/2018,52.85,37.45,Khomutovo,RU,0,65,72.31,5.97
6/13/2018,13.59,-89.83,Acajutla,SV,40,79,84.2,1.12
6/13/2018,-15.62,-46.42,Buritis,BR,0,53,83.74,6.87
6/13/2018,4.14,96.13,Meulaboh,ID,48,100,82.03,3.4
6/13/2018,15.34,74.49,Vaini,IN,100,98,70.42,4.29
6/13/2018,21.05,-89.07,Teya,MX,75,66,86,13.87
6/13/2018,-20.34,57.76,Bambous Virieux,MU,75,69,75.2,14.99
6/13/2018,41.65,-0.88,Zaragoza,ES,20,49,77,28.86
6/13/2018,55.74,-97.86,Thompson,CA,75,76,57.2,3.36
6/13/2018,39.95,-94.76,Kodiak,US,1,50,75.2,13.87
6/13/2018,-16.92,35.26,Nsanje,MZ,92,84,70.33,4.18
6/13/2018,53.82,-101.24,The Pas,CA,1,63,60.8,10.29
6/13/2018,34.8,126.66,Masalli,KR,12,77,68,9.17
6/13/2018,69.49,88.39,Talnakh,RU,20,100,42.79,3.18
6/13/2018,69.22,-51.1,Ilulissat,GL,90,97,32,4.7
6/13/2018,-28.58,-70.76,Vallenar,CL,0,56,54.4,1.28
6/13/2018,47.38,-61.86,Cap-Aux-Meules,CA,40,62,51.8,20.8
6/13/2018,17.54,120.52,San Quintin,PH,90,100,77,13.87
6/13/2018,5.28,115.24,Victoria,BN,75,94,80.6,1.12
6/13/2018,59.36,143.24,Okhotsk,RU,12,100,38.02,2.17
6/13/2018,48.65,-53.11,Bonavista,CA,92,82,46.57,22.97
6/13/2018,-0.87,134.08,Manokwari,ID,80,100,78.07,8.1
6/13/2018,8.96,38.73,Lebu,ET,92,100,55.3,0.72
6/13/2018,53.17,63.58,Qostanay,KZ,75,54,59,6.71
6/13/2018,-35.55,138.62,Victor Harbor,AU,75,82,55.4,17.22
6/13/2018,53.19,44.05,Kamenka,RU,12,98,61.6,9.44
6/13/2018,68.75,161.3,Cherskiy,RU,8,48,55.21,3.18
6/13/2018,-5.56,150.15,Kimbe,PG,92,100,78.43,6.64
6/13/2018,10.43,123.89,Guba,PH,75,74,84.2,8.05
6/13/2018,68.36,-133.71,Inuvik,CA,40,53,51.8,3.36
6/13/2018,19.61,110.49,Jiazi,CN,20,78,82.4,4.47
6/13/2018,-3.66,152.44,Namatanai,PG,76,100,78.07,11.68
6/13/2018,39.31,-74.98,Port Elizabeth,US,90,83,75.2,9.17
6/13/2018,-13.22,-72.34,Chilca,PE,75,47,55.4,3.36
6/13/2018,-5.67,132.75,Tual,ID,68,100,79.78,12.12
6/13/2018,10.99,-74.96,Puerto Colombia,CO,40,74,87.8,6.93
6/13/2018,65.4,64.7,Muzhi,RU,0,63,55.57,10.67
6/13/2018,17.41,121.44,Tabuk,PH,92,86,72.4,1.83
6/13/2018,15.44,119.9,Palauig,PH,92,100,74.11,10.67
6/13/2018,67.55,63.78,Komsomolskiy,RU,0,84,37.39,9.22
6/13/2018,-9.8,-139.03,Atuona,PF,44,100,79.6,12.91
6/13/2018,5.38,-52.96,Sinnamary,GF,92,100,75.19,3.4
6/13/2018,-2.57,150.8,Kavieng,PG,92,100,78.97,5.41
6/13/2018,10.49,-68.2,Moron,VE,0,70,81.67,3.06
6/13/2018,38.18,-1.13,Fortuna,ES,20,64,86,12.75
6/13/2018,66.15,-65.72,Pangnirtung,CA,90,93,35.6,4.7
6/13/2018,61.99,-49.67,Paamiut,GL,68,100,35.32,12.46
6/13/2018,32.31,121.18,Juegang,CN,36,76,75.28,16.6
6/13/2018,-34.67,150.86,Kiama,AU,0,86,50.44,6.87
6/13/2018,36.58,137.08,Yamada,JP,20,72,60.8,14.99
6/13/2018,-33.01,-68.8,Russell,AR,0,48,42.8,3.36
6/13/2018,45.62,-61.36,Port Hawkesbury,CA,1,63,64.4,16.11
6/13/2018,5.43,7.07,Naze,NG,75,62,89.6,9.17
6/13/2018,-15.19,12.15,Namibe,AO,0,89,74.02,17.49
6/13/2018,-3.52,23.6,Lodja,CD,0,20,94.36,4.97
6/13/2018,40.33,-91.2,Basco,US,1,44,77,13.87
6/13/2018,9.18,7.18,Suleja,NG,20,74,87.34,2.95
6/13/2018,67.47,78.7,Tazovskiy,RU,12,60,67.72,14.81
6/13/2018,43.47,-80.52,Waterloo,CA,75,78,75.2,12.75
6/13/2018,-34,24.73,Kruisfontein,ZA,0,47,75.82,8.43
6/13/2018,-0.6,73.08,Hithadhoo,MV,12,100,83.65,6.42
6/13/2018,50.28,57.21,Aqtobe,KZ,0,24,71.6,6.71
6/13/2018,-33.52,-56.9,Trinidad,UY,75,76,50,17.22
6/13/2018,33.83,-87.28,Jasper,US,12,83,78.8,5.19
6/13/2018,40.9,9.1,Tempio Pausania,IT,40,77,69.8,11.41
6/13/2018,-15.77,128.74,Kununurra,AU,75,73,73.4,5.82
6/13/2018,31.34,69.45,Zhob,PK,0,10,80.95,5.64
6/13/2018,28.66,-17.92,Los Llanos De Aridane,ES,20,60,73.4,12.75
6/13/2018,29.18,74.77,Nohar,IN,0,22,98.5,9.55
6/13/2018,47.51,6.77,Sainte-Suzanne,CH,76,48,66.2,10.29
6/13/2018,39.09,17.12,Crotone,IT,0,42,82.4,23.04
6/13/2018,8.25,34.59,Gambela,ET,92,94,68.62,2.95
6/13/2018,10.57,72.64,Kavaratti,IN,80,100,81.67,22.64
6/13/2018,57.96,102.73,Ust-Ilimsk,RU,12,87,60.61,1.95
6/13/2018,11.1,-2.1,Leo,BF,0,66,94.72,4.63
6/13/2018,18.99,-98.92,Totolapan,MX,75,77,59,5.82
6/13/2018,11.52,7.31,Funtua,NG,44,50,90.67,2.17
6/13/2018,17.01,54.1,Salalah,OM,75,89,84.2,10.29
6/13/2018,-41.05,145.91,Burnie,AU,92,100,51.88,21.07
6/13/2018,35.98,-114.83,Boulder City,US,1,11,89.6,3.51
6/13/2018,13,15.73,Massakory,TD,0,46,100.21,6.98
6/13/2018,18.74,7.39,Arlit,NE,0,14,110.92,4.74
6/13/2018,66.77,123.37,Zhigansk,RU,0,56,56.83,4.97
6/13/2018,-27.6,-48.55,Florianopolis,BR,40,64,69.8,3.36
6/13/2018,65.58,-170.99,Lavrentiya,RU,0,76,35.95,8.43
6/13/2018,37.27,-81.22,Bluefield,US,90,78,78.8,11.41
6/13/2018,-45.41,167.72,Te Anau,NZ,8,80,27.22,2.84
6/13/2018,8,124.29,Marawi,PH,44,99,66.73,2.28
6/13/2018,15.09,-87.97,Amapa,HN,75,83,84.2,4.7
6/13/2018,-34.85,139.16,Palmer,AU,75,82,55.4,17.22
6/13/2018,-30.17,-50.22,Cidreira,BR,0,81,51.97,26.33
6/13/2018,48.95,4.24,Saint-Pierre,FR,90,67,66.2,12.75
6/13/2018,65.95,111.51,Aykhal,RU,32,57,62.23,4.74
6/13/2018,-17.91,15.98,Ondangwa,NA,0,13,84.2,2.24
6/13/2018,-7.47,-34.81,Pitimbu,BR,40,54,84.2,17.22
6/13/2018,38.89,-94.53,Grandview,US,1,65,80.6,10.29
6/13/2018,48.15,-103.62,Williston,US,1,36,71.6,8.05
6/13/2018,65.42,-52.9,Maniitsoq,GL,68,97,36.31,5.53
6/13/2018,50.7,44.73,Krasnyy Yar,RU,92,86,64.03,8.21
6/13/2018,20.93,-17.03,Nouadhibou,MR,20,47,80.6,14.99
6/13/2018,-21.07,-50.14,Buritama,BR,68,95,75.1,6.31
6/13/2018,78.22,15.63,Longyearbyen,NO,90,86,33.8,18.34
6/13/2018,34.92,32.53,Lasa,CY,20,74,80.6,6.93
6/13/2018,64.86,-147.8,College,US,1,75,42.8,3.36
6/13/2018,65.44,52.15,Ust-Tsilma,RU,12,84,54.4,3.62
6/13/2018,44.83,-0.61,Saint-Augustin,FR,64,82,69.8,12.75
6/13/2018,70.86,29.09,Berlevag,NO,75,70,42.8,13.87
6/13/2018,71,24.66,Havoysund,NO,75,87,42.8,13.87
6/13/2018,-8.74,25,Kamina,CD,0,23,85,7.99
6/13/2018,7.38,8.57,Yaan,NG,48,100,85.9,7.09
6/13/2018,21.35,-158.09,Makakilo City,US,1,83,77,4.7
6/13/2018,28.17,94.8,Along,IN,100,98,68.89,1.5
6/13/2018,-2.67,141.3,Vanimo,PG,88,100,83.65,4.29
6/13/2018,63.83,10.7,Hovd,NO,75,48,62.6,4.7
6/13/2018,39.15,9.02,La Maddalena,IT,40,57,75.2,17.22
6/13/2018,-20.01,57.66,Grand Gaube,MU,75,69,75.2,14.99
6/13/2018,61.94,76.66,Novoagansk,RU,20,37,67.81,8.43
6/13/2018,40.7,-99.08,Kearney,US,90,64,71.6,14.99
6/13/2018,49.72,-86.95,Geraldton,CA,75,63,62.6,8.05
6/13/2018,-42.48,-73.76,Castro,CL,0,99,39.73,2.73
6/13/2018,-15.51,167.18,Luganville,VU,92,100,75.19,4.85
6/13/2018,-20.41,57.7,Mahebourg,MU,75,69,75.2,14.99
6/13/2018,46.45,135.83,Vostok,RU,44,83,45.04,1.95
6/13/2018,10.24,-61.45,Esperance,TT,75,88,80.6,12.75
